company_name,job_role,required_skills,company_email,location,salary_range,job_description
"Google","Senior Software Engineer","Python,JavaScript,Go,Cloud Architecture,REST API","hiring@google.com","Mountain View, CA","$250000-$350000","Senior software engineer role focusing on cloud-scale systems"
"Meta","Full Stack Engineer","React,Node.js,GraphQL,PostgreSQL,Docker","careers@meta.com","Menlo Park, CA","$200000-$300000","Full-stack engineer for social platform development"
"Amazon","DevOps Engineer","Kubernetes,Docker,AWS,Python,CI/CD","jobs@amazon.com","Seattle, WA","$180000-$280000","DevOps engineer for AWS infrastructure management"
"Microsoft","Cloud Architect","Azure,Kubernetes,C#,REST API,Cloud Design","careers@microsoft.com","Redmond, WA","$220000-$320000","Cloud architect for enterprise solutions"
"Apple","iOS Developer","Swift,Objective-C,REST API,Git","jobs@apple.com","Cupertino, CA","$200000-$290000","iOS developer for Apple platforms"
"Netflix","Machine Learning Engineer","Python,TensorFlow,Kubernetes,PostgreSQL,Data Analysis","careers@netflix.com","Los Gatos, CA","$230000-$350000","ML engineer for recommendation systems"
"Tesla","Embedded Systems Engineer","C++,Python,Linux,RTOS,Hardware","jobs@tesla.com","Palo Alto, CA","$190000-$280000","Embedded systems engineer for vehicle systems"
"Twitter","Backend Engineer","Node.js,Python,PostgreSQL,Redis,Messaging","careers@twitter.com","San Francisco, CA","$180000-$270000","Backend engineer for distributed systems"
"LinkedIn","Full Stack Engineer","JavaScript,TypeScript,React,Node.js,PostgreSQL","jobs@linkedin.com","Sunnyvale, CA","$200000-$310000","Full-stack engineer for professional networks"
"Oracle","Senior Database Engineer","PostgreSQL,MongoDB,SQL,Java,Cloud","careers@oracle.com","Austin, TX","$170000-$260000","Database engineer for enterprise systems"
"Stripe","Software Engineer","JavaScript,TypeScript,React,Node.js,AWS","careers@stripe.com","San Francisco, CA","$210000-$320000","Software engineer for payment infrastructure"
"Airbnb","Frontend Engineer","React,JavaScript,TypeScript,REST API,Git","jobs@airbnb.com","San Francisco, CA","$190000-$290000","Frontend engineer for travel platform"
"Uber","Mobile Engineer","React Native,JavaScript,Node.js,Python","careers@uber.com","San Francisco, CA","$200000-$300000","Mobile engineer for ride-sharing apps"
"Dropbox","Systems Engineer","Go,Python,Kubernetes,PostgreSQL,AWS","jobs@dropbox.com","San Francisco, CA","$210000-$310000","Systems engineer for file sync infrastructure"
"Spotify","Data Engineer","Python,Scala,Kafka,PostgreSQL,Hadoop","careers@spotify.com","Stockholm, Sweden","$180000-$280000","Data engineer for music recommendation systems"
